,education, social, bus_stop, office, supermarket
 0-9,     5, 1, 0, 0, 0 
 10-19,  5, 2, 3, 0, 0 
 20-29,     2, 2, 3, 3, 1
 30-39,      2, 2, 3, 3, 1
  40-49,      0, 2, 1, 5, 1
 50-59,       0, 2, 1, 5, 1
 60-69,       0, 3, 2, 0, 1 
70-79 ,     0, 3, 2, 0, 1 
 80+,       0, 2, 1, 0, 1
